<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEXBC,D,13/07/10,00:00:00,9223.2300000,9437.7300000,9166.2200000,9429.7700000,0
MOEXBC,D,14/07/10,00:00:00,9429.7700000,9477.9500000,9293.4700000,9332.4700000,0
MOEXBC,D,15/07/10,00:00:00,9332.4700000,9472.8300000,9198.9400000,9244.7400000,0
MOEXBC,D,16/07/10,00:00:00,9244.7400000,9309.4800000,9052.3600000,9063.4300000,0
MOEXBC,D,19/07/10,00:00:00,9063.4300000,9243.1100000,9059.7900000,9217.3800000,0
MOEXBC,D,20/07/10,00:00:00,9217.3800000,9263.2900000,9039.4700000,9197.0500000,0
MOEXBC,D,21/07/10,00:00:00,9197.0500000,9356.4000000,9176.2700000,9263.6600000,0
MOEXBC,D,22/07/10,00:00:00,9263.6600000,9524.6400000,9225.6200000,9509.6200000,0
MOEXBC,D,23/07/10,00:00:00,9509.6200000,9593.3600000,9448.5200000,9579.0200000,0
MOEXBC,D,26/07/10,00:00:00,9579.0200000,9666.8200000,9530.4800000,9658.9400000,0
MOEXBC,D,27/07/10,00:00:00,9658.9400000,9768.5400000,9599.6200000,9691.7500000,0
MOEXBC,D,28/07/10,00:00:00,9691.7500000,9751.3200000,9569.2900000,9637.7200000,0
MOEXBC,D,29/07/10,00:00:00,9637.7200000,9857.6800000,9637.7200000,9785.7600000,0
MOEXBC,D,30/07/10,00:00:00,9785.7600000,9785.7600000,9535.4600000,9673.9200000,0
MOEXBC,D,02/08/10,00:00:00,9673.9200000,9925.3800000,9666.7700000,9918.2900000,0
MOEXBC,D,03/08/10,00:00:00,9918.2900000,9918.2900000,9685.3500000,9746.3100000,0
MOEXBC,D,04/08/10,00:00:00,9746.3100000,9863.2700000,9644.5700000,9807.4800000,0
MOEXBC,D,05/08/10,00:00:00,9807.4800000,9861.6400000,9694.1300000,9772.4400000,0
MOEXBC,D,06/08/10,00:00:00,9772.4400000,9820.8800000,9625.4100000,9662.6200000,0
MOEXBC,D,09/08/10,00:00:00,9674.9100000,9865.0000000,9674.9100000,9809.7600000,0
MOEXBC,D,10/08/10,00:00:00,9809.7600000,9809.7600000,9575.1100000,9685.2400000,0
MOEXBC,D,11/08/10,00:00:00,9685.2400000,9685.2400000,9444.7900000,9466.0100000,0
MOEXBC,D,12/08/10,00:00:00,9466.0100000,9571.8600000,9400.6100000,9480.8100000,0
MOEXBC,D,13/08/10,00:00:00,9480.8100000,9557.6700000,9396.3900000,9426.7300000,0
MOEXBC,D,16/08/10,00:00:00,9426.7300000,9519.0400000,9333.9100000,9439.4500000,0
MOEXBC,D,17/08/10,00:00:00,9439.4500000,9607.6600000,9439.4500000,9601.2700000,0
MOEXBC,D,18/08/10,00:00:00,9601.2700000,9601.2700000,9479.2900000,9543.0000000,0
MOEXBC,D,19/08/10,00:00:00,9543.0000000,9638.7900000,9405.3600000,9432.1800000,0
MOEXBC,D,20/08/10,00:00:00,9432.1800000,9454.1100000,9290.1400000,9377.9100000,0
MOEXBC,D,23/08/10,00:00:00,9377.9100000,9411.4900000,9259.6800000,9330.0700000,0
MOEXBC,D,24/08/10,00:00:00,9330.0700000,9330.0700000,9146.3900000,9212.3300000,0
MOEXBC,D,25/08/10,00:00:00,9211.0600000,9256.4500000,9087.6200000,9221.2100000,0
MOEXBC,D,26/08/10,00:00:00,9221.2100000,9293.9500000,9189.7900000,9251.8600000,0
MOEXBC,D,27/08/10,00:00:00,9251.8600000,9407.4300000,9191.3500000,9406.4200000,0
MOEXBC,D,30/08/10,00:00:00,9407.9000000,9450.1900000,9350.3300000,9351.9600000,0
MOEXBC,D,31/08/10,00:00:00,9351.9600000,9393.7900000,9226.4900000,9334.6200000,0
MOEXBC,D,01/09/10,00:00:00,9334.6200000,9594.7300000,9334.6200000,9594.7300000,0
MOEXBC,D,02/09/10,00:00:00,9594.7300000,9659.7500000,9545.2800000,9649.9700000,0
MOEXBC,D,03/09/10,00:00:00,9649.9700000,9751.0800000,9576.6100000,9680.1000000,0
MOEXBC,D,06/09/10,00:00:00,9680.1000000,9737.9900000,9655.0300000,9673.2800000,0
MOEXBC,D,07/09/10,00:00:00,9673.2800000,9673.2800000,9524.9800000,9569.0800000,0
MOEXBC,D,08/09/10,00:00:00,9569.0800000,9754.4800000,9537.5400000,9733.9300000,0
MOEXBC,D,09/09/10,00:00:00,9733.9300000,9904.4300000,9699.0800000,9836.4200000,0
MOEXBC,D,10/09/10,00:00:00,9836.4200000,9876.6600000,9767.7900000,9811.0900000,0
MOEXBC,D,13/09/10,00:00:00,9811.4100000,9941.3700000,9811.4100000,9856.6700000,0
MOEXBC,D,14/09/10,00:00:00,9856.6700000,9879.7500000,9751.6300000,9778.5700000,0
MOEXBC,D,15/09/10,00:00:00,9778.5700000,9830.7300000,9692.3200000,9830.7300000,0
MOEXBC,D,16/09/10,00:00:00,9830.7300000,9830.7300000,9730.0000000,9772.2200000,0
MOEXBC,D,17/09/10,00:00:00,9772.2200000,9826.6500000,9631.1400000,9643.0800000,0
MOEXBC,D,20/09/10,00:00:00,9643.0800000,9749.7100000,9611.0700000,9748.5700000,0
MOEXBC,D,21/09/10,00:00:00,9748.5700000,9818.6100000,9714.9400000,9724.4600000,0
MOEXBC,D,22/09/10,00:00:00,9724.4600000,9790.2800000,9642.1300000,9743.3800000,0
MOEXBC,D,23/09/10,00:00:00,9743.3800000,9796.7500000,9660.4300000,9701.0500000,0
MOEXBC,D,24/09/10,00:00:00,9701.0500000,9784.0700000,9661.5700000,9773.8400000,0
MOEXBC,D,27/09/10,00:00:00,9773.8400000,9811.4300000,9618.0300000,9637.3700000,0
MOEXBC,D,28/09/10,00:00:00,9637.3700000,9642.0300000,9530.3800000,9587.3900000,0
MOEXBC,D,29/09/10,00:00:00,9587.3900000,9682.4000000,9583.9200000,9668.9600000,0
MOEXBC,D,30/09/10,00:00:00,9668.9600000,9794.8100000,9639.5100000,9757.8900000,0
MOEXBC,D,01/10/10,00:00:00,9757.8900000,9978.9900000,9752.2000000,9972.3700000,0
MOEXBC,D,04/10/10,00:00:00,9974.2100000,10031.0300000,9910.8100000,9953.0000000,0
MOEXBC,D,05/10/10,00:00:00,9953.0000000,10142.7900000,9934.8400000,10130.3600000,0
MOEXBC,D,06/10/10,00:00:00,10130.3600000,10157.4200000,10015.2100000,10065.2500000,0
MOEXBC,D,07/10/10,00:00:00,10069.3900000,10103.2200000,9997.1900000,10022.3500000,0
MOEXBC,D,08/10/10,00:00:00,10022.3500000,10044.1200000,9919.5600000,10038.9900000,0
MOEXBC,D,11/10/10,00:00:00,10038.9900000,10130.1300000,10025.9500000,10102.6700000,0
MOEXBC,D,12/10/10,00:00:00,10102.6700000,10138.8500000,10016.0000000,10137.9000000,0
MOEXBC,D,13/10/10,00:00:00,10137.9000000,10242.4500000,10127.2200000,10205.2800000,0
MOEXBC,D,14/10/10,00:00:00,10205.2800000,10250.7600000,10100.3200000,10112.4700000,0
MOEXBC,D,15/10/10,00:00:00,10114.5400000,10247.0200000,10114.5400000,10170.8400000,0
MOEXBC,D,18/10/10,00:00:00,10170.8400000,10297.2400000,10141.7900000,10290.9800000,0
MOEXBC,D,19/10/10,00:00:00,10290.9800000,10351.6300000,10091.4500000,10117.2500000,0
MOEXBC,D,20/10/10,00:00:00,10117.2500000,10264.4300000,10070.6500000,10251.4600000,0
MOEXBC,D,21/10/10,00:00:00,10251.4600000,10514.6900000,10191.6500000,10442.5800000,0
MOEXBC,D,22/10/10,00:00:00,10442.5800000,10544.1400000,10405.1300000,10503.4100000,0
MOEXBC,D,25/10/10,00:00:00,10503.4100000,10607.3900000,10488.5700000,10534.3700000,0
MOEXBC,D,26/10/10,00:00:00,10534.3700000,10537.7500000,10421.6700000,10523.1700000,0
MOEXBC,D,27/10/10,00:00:00,10523.1700000,10523.1700000,10343.9300000,10396.3400000,0
MOEXBC,D,28/10/10,00:00:00,10396.3400000,10454.2100000,10339.6700000,10370.5600000,0
MOEXBC,D,29/10/10,00:00:00,10370.5600000,10474.9300000,10327.8100000,10452.4100000,0
MOEXBC,D,01/11/10,00:00:00,10452.4100000,10613.0800000,10452.4100000,10532.4800000,0
MOEXBC,D,02/11/10,00:00:00,10532.4800000,10600.9000000,10520.1400000,10581.7400000,0
MOEXBC,D,03/11/10,00:00:00,10581.7400000,10643.7400000,10553.0700000,10643.7400000,0
MOEXBC,D,08/11/10,00:00:00,10643.7400000,10862.1200000,10643.7400000,10784.2600000,0
