<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEXCN,D,13/09/10,00:00:00,4398.2600000,4481.1700000,4380.0900000,4467.6500000,323476712
MOEXCN,D,14/09/10,00:00:00,4467.7500000,4478.2200000,4397.6300000,4397.6800000,127988788
MOEXCN,D,15/09/10,00:00:00,4397.5200000,4414.3100000,4368.6200000,4386.3200000,114463028
MOEXCN,D,16/09/10,00:00:00,4386.3900000,4412.3200000,4380.6100000,4394.7100000,107855217
MOEXCN,D,17/09/10,00:00:00,4395.7900000,4459.2300000,4395.7900000,4433.6600000,100170687
MOEXCN,D,20/09/10,00:00:00,4432.5200000,4498.3700000,4430.5300000,4497.0500000,617905209
MOEXCN,D,21/09/10,00:00:00,4500.3800000,4532.5000000,4468.6100000,4522.2500000,991471251
MOEXCN,D,22/09/10,00:00:00,4519.1600000,4550.5000000,4491.4400000,4502.1400000,686770928
MOEXCN,D,23/09/10,00:00:00,4502.1100000,4517.0900000,4435.6000000,4457.8900000,342500429
MOEXCN,D,24/09/10,00:00:00,4458.5300000,4467.4700000,4432.7600000,4467.4700000,187520834
MOEXCN,D,27/09/10,00:00:00,4467.6000000,4477.7800000,4449.5500000,4459.2400000,137614031
MOEXCN,D,28/09/10,00:00:00,4459.1700000,4473.3400000,4403.0300000,4433.9500000,654272594
MOEXCN,D,29/09/10,00:00:00,4435.4600000,4479.3300000,4426.9500000,4464.8300000,180850315
MOEXCN,D,30/09/10,00:00:00,4464.8200000,4524.5800000,4463.0100000,4516.6400000,185434749
MOEXCN,D,01/10/10,00:00:00,4516.7100000,4583.5600000,4515.7700000,4566.0400000,222701637
MOEXCN,D,04/10/10,00:00:00,4566.0700000,4602.7300000,4559.5100000,4600.4600000,113623495
MOEXCN,D,05/10/10,00:00:00,4600.4600000,4631.0700000,4598.1100000,4599.0900000,365907658
MOEXCN,D,06/10/10,00:00:00,4599.1200000,4624.0900000,4588.4000000,4621.9800000,98852820
